x,y
2700,652
2701,651
2704,651
2705,650
2707,650
2708,649
2709,649
2710,648
2711,648
2712,647
2716,647
2717,646
2721,646
2722,645
2729,645
2730,644
2735,644
2736,643
2739,643
2740,642
2741,642
2742,641
2743,641
2744,640
2745,640
2746,639
2747,639
2748,638
2749,638
2750,637
2751,637
2752,636
2754,636
2755,635
2756,635
2757,634
2758,634
2759,633
2760,633
2766,627
2769,627
2770,626
2774,626
2775,625
2778,625
2779,624
2783,624
2784,623
2798,623
2799,622
2805,622
2806,621
2808,621
2809,620
2811,620
2812,619
2814,619
2815,618
2822,618
2823,617
2832,617
2833,616
2839,616
2841,614
2842,614
2843,613
2844,613
2845,612
2847,612
2848,611
2862,611
2863,610
2867,610
2868,609
2874,609
2875,608
2883,608
2884,607
2889,607
2890,606
2896,606
2897,605
2907,605
2908,604
2914,604
2915,603
2925,603
2926,602
2932,602
2933,601
2940,601
2941,600
2944,600
2945,599
2952,599
2953,598
2956,598
2957,597
2960,597
2961,596
2964,596
2965,595
2967,595
2968,594
2969,594
2970,593
2972,593
2973,592
2975,592
2976,591
2979,591
2980,590
2981,590
2982,589
2986,589
2987,588
2993,588
2994,587
2997,587
2998,586
3001,586
3002,585
3006,585
3007,584
3016,584
3017,583
3023,583
3024,582
3028,582
3029,581
3031,581
3032,580
3035,580
3036,579
3041,579
3042,578
3050,578
3051,577
3054,577
3055,576
3061,576
3062,575
3064,575
3065,574
3066,574
3067,573
3070,573
3071,572
3074,572
3075,571
3078,571
3076,571
3075,570
3067,570
3066,569
3062,569
3061,568
3058,568
3057,567
3056,567
3051,562
3050,562
3048,560
3048,559
3047,558
3047,557
3049,555
3050,555
3051,554
3052,554
3054,552
3055,552
3056,551
3059,551
3060,550
3063,550
3064,549
3068,549
3069,548
3075,548
3076,547
3082,547
3083,546
3087,546
3088,545
3090,545
3091,544
3094,544
3095,543
3098,543
3099,542
3103,542
3104,541
3108,541
3109,540
3111,540
3112,539
3114,539
3115,538
3117,538
3118,537
3121,537
3118,537
3116,535
3115,535
3114,534
3113,534
3112,533
3111,533
3110,532
3110,528
3115,523
3119,523
3120,522
3121,522
3122,521
3122,520
3125,517
3126,517
3126,516
3127,515
3127,513
3128,512
3129,512
3130,511
3131,511
3134,508
3135,508
3136,507
3138,507
3139,506
3141,506
3142,505
3143,505
3144,504
3146,504
3147,503
3149,503
3151,501
3152,501
3154,499
3156,499
3157,498
3158,498
3158,497
3157,496
3157,495
3149,487
3148,487
3146,485
3145,485
3144,484
3143,484
3141,482
3141,480
3140,479
3140,475
3139,474
3138,474
3137,473
3136,473
3134,471
3133,471
3132,470
3131,470
3130,469
3129,469
3125,465
3124,465
3123,464
3116,464
3115,463
3106,463
3105,462
3104,462
3103,461
3102,461
3101,460
3100,460
3098,458
3097,458
3096,457
3095,457
3094,456
3093,456
3087,450
3086,451
3084,451
3083,452
3078,452
3076,450
3076,449
3075,448
3075,447
3074,446
3074,444
3073,443
3073,441
3072,440
3072,439
3070,437
3070,436
3069,435
3068,435
3066,433
3065,433
3064,432
3060,432
3059,433
3052,433
3051,432
3048,432
3047,431
3041,431
3040,430
3039,430
3038,429
3037,429
3036,428
3033,428
3032,427
3024,427
3023,426
3014,426
3013,425
3012,425
3011,424
3009,424
3006,421
3007,420
3007,418
3011,414
3013,414
3014,413
3016,413
3017,412
3023,412
3024,411
3034,411
3035,410
3042,410
3043,409
3048,409
3049,408
3052,408
3055,405
3058,405
3059,404
3079,404
3080,403
3085,403
3086,402
3090,402
3091,403
3092,403
3093,402
3096,402
3097,401
3098,401
3099,400
3100,400
3101,399
3102,399
3105,396
3105,394
3106,393
3106,391
3105,390
3105,389
3104,388
3104,382
3106,380
3107,380
3108,379
3109,379
3111,377
3112,377
3113,376
3117,376
3118,375
3124,375
3126,373
3128,373
3129,372
3131,372
3132,371
3134,371
3135,370
3137,370
3138,369
3140,369
3141,368
3142,368
3145,365
3146,365
3147,364
3147,363
3148,362
3148,359
3152,355
3153,355
3156,352
3157,352
3158,351
3160,351
3164,347
3165,347
3170,342
3171,342
3174,339
3175,339
3176,338
3178,338
3179,337
3180,337
3181,336
3182,336
3183,335
3184,335
3185,334
3186,334
3187,333
3188,333
3189,332
3190,332
3191,331
3192,331
3193,330
3194,330
3195,329
3196,329
3197,328
3198,328
3200,326
3200,325
3201,324
3202,324
3203,323
3204,323
3206,321
3207,321
3209,319
3210,319
3211,318
3212,318
3214,316
3215,316
3218,313
3219,313
3221,311
3222,311
3223,310
3225,310
3226,309
3228,309
3229,308
3233,308
3234,307
3235,307
3237,305
3238,305
3240,303
3241,303
3244,300
3245,300
3246,299
3247,299
3248,298
3249,298
3250,297
3252,297
3253,296
3254,296
3255,295
3256,295
3257,294
3259,294
3260,293
3262,293
3263,292
3266,292
3267,291
3269,291
3273,287
3274,287
3275,286
3275,280
3276,279
3276,278
3278,276
3279,276
3280,275
3281,275
3282,274
3283,274
3284,273
3285,273
3287,271
3290,271
3291,270
3295,270
3296,269
3299,269
3300,268
3303,268
3304,267
3306,267
3307,266
3308,266
3310,264
3311,264
3312,263
3315,263
3316,262
3318,262
3319,261
3320,261
3322,259
3323,259
3324,258
3325,258
3326,257
3326,256
3325,255
3325,252
3326,251
3326,250
3328,248
3328,247
3329,246
3329,243
3327,243
3326,242
3324,242
3323,241
3322,241
3321,240
3320,240
3317,237
3317,233
3318,232
3318,231
3319,230
3320,230
3320,229
3321,228
3321,226
3322,225
3322,219
3320,217
3320,216
3319,215
3319,213
3318,212
3318,211
3317,211
3316,210
3317,209
3318,209
3319,208
3321,208
3322,207
3323,207
3326,204
3327,204
3328,203
3330,203
3331,202
3333,202
3334,201
3338,201
3339,200
3343,200
3344,199
3345,199
3346,198
3348,198
3349,197
3351,197
3352,196
3354,196
3355,195
3357,195
3361,191
3362,191
3363,190
3363,188
3362,187
3362,184
3364,182
3364,181
3367,178
3368,178
3372,174
3373,174
3377,170
3377,167
3376,166
3375,166
3374,165
3373,165
3371,163
3370,163
3368,161
3366,161
3365,160
3364,160
3363,159
3361,159
3360,158
3358,158
3357,157
3356,157
3355,156
3351,156
3350,155
3345,155
3344,154
3339,154
3338,153
3336,153
3335,152
3335,148
3336,147
3336,144
3335,143
3335,142
3334,141
3333,141
3332,140
3331,140
3330,139
3328,139
3327,138
3325,138
3324,137
3323,137
3322,136
3321,136
3320,135
3318,135
3317,134
3316,134
3315,133
3313,133
3312,132
3312,131
3311,130
3311,129
3310,128
3310,127
3311,126
3312,126
3316,122
3317,122
3319,120
3320,120
3321,119
3322,119
3324,117
3326,117
3327,116
3333,116
3334,115
3338,115
3339,114
3342,114
3343,113
3343,112
3344,111
3344,110
3347,107
3347,106
3346,105
3347,104
3346,103
3347,102
3347,99
3349,97
3350,97
3351,96
3352,96
3353,95
3354,95
3355,94
3357,94
3358,93
3357,92
3357,88
3355,86
3355,85
